Nose_X,Nose_Y,Left_Eye_X,Left_Eye_Y,Right_Eye_X,Right_Eye_Y,Left_Ear_X,Left_Ear_Y,Right_Ear_X,Right_Ear_Y,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Left_Elbow_X,Left_Elbow_Y,Right_Elbow_X,Right_Elbow_Y,Left_Wrist_X,Left_Wrist_Y,Right_Wrist_X,Right_Wrist_Y,Left_Hip_X,Left_Hip_Y,Right_Hip_X,Right_Hip_Y,Left_Knee_X,Left_Knee_Y,Right_Knee_X,Right_Knee_Y,Left_Ankle_X,Left_Ankle_Y,Right_Ankle_X,Right_Ankle_Y,Class
0.28855407,0.29225773,0.29806903,0.27522725,0.27280155,0.2700858,0.0,0.0,0.21922548,0.27580932,0.3003279,0.40871543,0.12716256,0.3645946,0.32694724,0.56598634,0.07175945,0.5073152,0.35430482,0.4756214,0.16332999,0.47363198,0.23010269,0.6588794,0.0956529,0.63901305,0.27713954,0.8974037,0.019299626,0.87096894,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.7547977,0.19730258,0.0,0.0,0.78548586,0.20785604,0.0,0.0,0.74567896,0.31269667,0.9341935,0.30453533,0.66377336,0.4685454,0.0,0.0,0.5878132,0.48940587,0.0,0.0,0.7726352,0.6043603,0.9059671,0.6022745,0.7137951,0.8737575,0.9071455,0.88770473,0.0,0.0,0.0,0.0,Attack
0.31106856,0.29448584,0.31962243,0.2763655,0.29388067,0.27195558,0.0,0.0,0.2410449,0.27892604,0.3236372,0.41152602,0.15309717,0.3678851,0.34622246,0.57010496,0.09730728,0.5062728,0.37168562,0.47226045,0.18690942,0.4545062,0.24572976,0.6540651,0.11322112,0.6352718,0.2954619,0.8846044,0.034790657,0.8650376,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.0,0.0,0.0,0.0,0.78331697,0.2196163,0.0,0.0,0.7502052,0.3227921,0.9309662,0.3198402,0.6486699,0.46090344,0.0,0.0,0.5920911,0.4767482,0.0,0.0,0.76256216,0.62379867,0.895926,0.6194369,0.6830582,0.86746514,0.8983576,0.88680124,0.0,0.0,0.0,0.0,Attack
0.32345748,0.29996634,0.33320507,0.2826826,0.3069671,0.27762926,0.0,0.0,0.2558119,0.2831298,0.3323088,0.41264156,0.16983463,0.3740349,0.35917652,0.5684364,0.119503416,0.51139104,0.3803192,0.47339934,0.21216884,0.45536456,0.26236105,0.65619016,0.1356506,0.6432317,0.30378205,0.8726286,0.056895684,0.8684169,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.75759506,0.21633539,0.0,0.0,0.7845649,0.22210911,0.0,0.0,0.73643976,0.31553733,0.9354839,0.3304589,0.6342495,0.43615645,0.0,0.0,0.60908175,0.44517067,0.0,0.0,0.74740756,0.61139613,0.9061022,0.6166667,0.6333542,0.8506356,0.9169617,0.88576645,0.0,0.0,0.0,0.0,Attack
0.33290073,0.30705148,0.342677,0.28930208,0.3151203,0.28439048,0.0,0.0,0.26255012,0.2898707,0.34333667,0.4191803,0.1811941,0.3814997,0.3699682,0.5787801,0.13911065,0.51431566,0.39928126,0.47621438,0.22329496,0.43678817,0.28169802,0.6664149,0.15372398,0.65429157,0.32234257,0.87473965,0.059829257,0.87750506,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.0,0.0,0.0,0.0,0.7697955,0.22241789,0.0,0.0,0.7147637,0.3143452,0.9304489,0.3265671,0.6035464,0.41907936,0.0,0.0,0.0,0.0,0.0,0.0,0.72814506,0.62393916,0.8966338,0.6272477,0.64594936,0.87900907,0.90097713,0.9019573,0.0,0.0,0.0,0.0,Attack
0.3380857,0.31281802,0.34553644,0.29554513,0.31732675,0.2934019,0.0,0.0,0.26267442,0.30611688,0.35448655,0.42430335,0.19261831,0.39681032,0.3929798,0.5715667,0.16048142,0.51776206,0.4180826,0.48468643,0.23942688,0.42964944,0.2938816,0.6740045,0.16840823,0.66551405,0.33384842,0.8780982,0.08558188,0.8814139,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.0,0.0,0.0,0.0,0.7551474,0.21223958,0.0,0.0,0.70165247,0.29796666,0.9180366,0.3182547,0.56420046,0.38851678,0.90169907,0.43460122,0.0,0.0,0.0,0.0,0.7327774,0.6104758,0.89602643,0.6163966,0.6265979,0.8595047,0.89919597,0.8814344,0.0,0.0,0.0,0.0,Attack
0.33915487,0.31984547,0.34746617,0.30251244,0.31986052,0.2989397,0.0,0.0,0.26444754,0.3091687,0.35930756,0.4298721,0.19525543,0.40257955,0.42067158,0.57200474,0.1848145,0.5134877,0.44827113,0.47001877,0.26674768,0.40168792,0.30414078,0.67979044,0.17709304,0.671801,0.34705722,0.8861435,0.095467225,0.8917923,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.0,0.0,0.0,0.0,0.73651826,0.21205841,0.0,0.0,0.6763349,0.29484904,0.8980504,0.3180067,0.5348162,0.36872897,0.0,0.0,0.5036155,0.3699466,0.0,0.0,0.69291764,0.6194849,0.8569147,0.6249936,0.6307236,0.89060247,0.8837004,0.8941534,0.0,0.0,0.0,0.0,Attack
0.33447263,0.31870502,0.34271637,0.30079556,0.31475362,0.30048558,0.0,0.0,0.2648582,0.316488,0.3659003,0.42916647,0.20540628,0.40729263,0.4506396,0.5517048,0.22320247,0.49424493,0.47782335,0.45178175,0.30368274,0.39182982,0.31319433,0.6934363,0.18502317,0.68478256,0.35482064,0.8955604,0.08616377,0.9069687,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.0,0.0,0.0,0.0,0.71088153,0.2181759,0.8137296,0.21718939,0.66495293,0.28565857,0.85532665,0.30618256,0.54321265,0.3384731,0.8973953,0.44151878,0.0,0.0,0.0,0.0,0.68442357,0.58201593,0.82102865,0.58728474,0.6421747,0.848945,0.8589449,0.8441425,0.0,0.0,0.0,0.0,Attack
0.3381642,0.31312212,0.34580746,0.29604378,0.3172481,0.29630068,0.34699535,0.31851965,0.26722386,0.31704435,0.37179402,0.43203774,0.21814543,0.40522093,0.47438866,0.536374,0.25138232,0.4789956,0.4935676,0.43836823,0.31423652,0.46601796,0.31117693,0.7015664,0.18850079,0.6882278,0.3493895,0.88779145,0.10212898,0.89682996,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.0,0.0,0.0,0.0,0.7077325,0.21977787,0.0,0.0,0.66418386,0.28929108,0.86776125,0.3027331,0.51942545,0.31764987,0.84818804,0.34712428,0.0,0.0,0.0,0.0,0.6850347,0.5837377,0.83518255,0.58676445,0.6306175,0.8423837,0.8607972,0.85104835,0.0,0.0,0.0,0.0,Attack
0.34411544,0.30470678,0.3500782,0.28602567,0.32206547,0.28750283,0.0,0.0,0.26824543,0.30747545,0.3718375,0.41420487,0.22997297,0.399204,0.48145485,0.52079964,0.29928014,0.4931157,0.50098586,0.4583696,0.36425814,0.4641075,0.30684048,0.689605,0.18995397,0.67902994,0.35132885,0.8937147,0.108027175,0.8918768,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.0,0.0,0.0,0.0,0.7057947,0.22526379,0.0,0.0,0.66629326,0.28496164,0.8653031,0.312859,0.52736574,0.31891796,0.8764951,0.4528728,0.0,0.0,0.0,0.0,0.6755475,0.57483786,0.81747454,0.57927233,0.63629186,0.82811415,0.8466972,0.8282248,0.0,0.0,0.0,0.0,Attack
0.3512945,0.30139273,0.360486,0.28416112,0.33033705,0.28423887,0.0,0.0,0.27952805,0.2988566,0.38662457,0.4035839,0.23124418,0.38327903,0.49555948,0.49787682,0.27030236,0.47169167,0.50206643,0.4277662,0.35874978,0.4778316,0.32150176,0.675889,0.19990101,0.66488945,0.35819465,0.8679574,0.12073012,0.8736125,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.0,0.0,0.0,0.0,0.7218511,0.22758242,0.81831086,0.23687348,0.67122394,0.29085273,0.8618753,0.32856014,0.5406755,0.33920392,0.8708871,0.47241685,0.5043221,0.349112,0.0,0.0,0.6981792,0.5661478,0.83045536,0.5793442,0.6719747,0.8046998,0.83543855,0.8224578,0.0,0.0,0.0,0.0,Attack
0.3597615,0.29956672,0.36798224,0.28231847,0.33979833,0.28329295,0.0,0.0,0.29248482,0.29777515,0.39507863,0.39955384,0.2413609,0.3780896,0.50217444,0.4967309,0.26261666,0.46366158,0.50871223,0.4366501,0.3776016,0.45591804,0.33005893,0.66831285,0.20947579,0.65739065,0.3748971,0.85988176,0.13857092,0.86214423,0.0,0.0,0.0,0.0,Attack
0.0,0.0,0.0,0.0,0.0,0.0,0.7323235,0.23302153,0.0,0.0,0.6852795,0.2971865,0.8785545,0.33378083,0.55540407,0.3467344,0.87790936,0.48218217,0.5392061,0.3476367,0.0,0.0,0.6941643,0.57456124,0.83049536,0.58517027,0.65227646,0.8135276,0.81709504,0.8311466,0.0,0.0,0.0,0.0,Attack
0.36540657,0.30041793,0.37267494,0.283397,0.34628877,0.2834923,0.0,0.0,0.2967473,0.29797593,0.39540905,0.40261126,0.24460816,0.38414264,0.50267136,0.49525985,0.25908527,0.47688955,0.52014434,0.4214557,0.3603817,0.45305336,0.34259972,0.6661245,0.22407626,0.6572129,0.390737,0.8562233,0.14537142,0.85930437,0.0,0.0,0.0,0.0,Attack
